ParticipantID,TrialNum,Modality,Task,Dataset,ModalityOrder,TaskOrder,DatasetOrder,Repetition,Target,CorrectAnswer,UserAnswer,UserStartTime,UserEndTime,Drop Notes,Pick up phys,Use body reference frame
106,9,physical,advect,0-0,0,2,0,training1,D9,09:06,09:30,1691440436,1691440536,,,
106,10,physical,advect,0-1,0,2,1,1,H4,03:05,03:02,1691440568,1691440607,,,Multiple Fingers
106,11,physical,advect,0-1,0,2,1,2,J10,09:32,08:10,1691440617,1691440641,,,Multiple Fingers
106,12,physical,advect,0-1,0,2,1,3,B5,12:19,02:20,1691440645,1691440701,,Pick Up,Multiple Fingers
106,13,3d,compare,0-0,1,1,0,training1,B10-D2-H3,H3,D2,1691441108,1691441165,,,
106,14,3d,compare,0-1,1,1,1,1,H6-I1-E10,I1,I1,1691441254,1691441299,,,
106,15,3d,compare,0-1,1,1,1,2,E8-I2-A3,E8,E8,1691441303,1691441426,,,
106,16,3d,compare,0-1,1,1,1,3,F5-G9-B4,G9,G9,1691441430,1691441481,,,
106,17,3d,advect,0-0,1,2,0,training1,F10,09:26,09:25,1691441553,1691441584,,,
106,18,3d,advect,0-1,1,2,1,1,G10,09:18,06:43,1691441612,1691441652,,,
106,19,3d,advect,0-1,1,2,1,2,A3,12:41,12:27,1691441657,1691441729,,,
106,20,3d,advect,0-1,1,2,1,3,G6,04:30,04:36,1691441731,1691441775,,,
106,21,3d,range,0-0,1,0,0,training1,J10,326-1128,200-1050,1691441853,1691441957,,,
106,22,3d,range,0-1,1,0,1,1,A3,980-1787,1000-1800,1691442030,1691442137,,,
106,23,3d,range,0-1,1,0,1,2,G10,623-1788,650-1800,1691442143,1691442223,,,
106,24,3d,range,0-1,1,0,1,3,H4,979-1749,800-1800,1691442226,1691442306,,,
106,25,2d,advect,0-0,2,2,0,training1,I7,08:57,08:30,1691444145,1691444205,,,
106,26,2d,advect,0-1,2,2,1,1,E6,06:20,06:10,1691444256,1691444283,,,
106,27,2d,advect,0-1,2,2,1,2,F3,07:18,06:30,1691444292,1691444329,,,
106,28,2d,advect,0-1,2,2,1,3,J3,02:45,02:08,1691444334,1691444395,,,
106,29,2d,range,0-0,2,0,0,training1,H9,359-1026,320-1040,1691444465,1691444675,,,
106,30,2d,range,0-1,2,0,1,1,J10,641-1896,640-1880,1691444712,1691444767,,,
106,31,2d,range,0-1,2,0,1,2,J3,801-1495,800-1480,1691444773,1691444815,,,
106,32,2d,range,0-1,2,0,1,3,B5,1115-1567,1120-1560,1691444819,1691444882,,,
106,33,2d,compare,0-0,2,1,0,training1,J9-A7-E5,E5,E5,1691444934,1691444991,,,
106,34,2d,compare,0-1,2,1,1,1,G1-I8-B5,I8,I8,1691445018,1691445096,,,
106,35,2d,compare,0-1,2,1,1,2,E6-F2-C9,C9,C9,1691445100,1691445191,,,
106,36,2d,compare,0-1,2,1,1,3,A7-E4-J3,A7,A7,1691445193,1691445280,,,
107,1,2d,range,0-0,0,0,0,training1,I7,137-591,180-500,1691525872,1691525924,,,
107,2,2d,range,2-0,0,0,1,1,E7,1323-2040,1350-2000,1691525961,1691525987,,,
107,3,2d,range,2-0,0,0,1,2,D9,1752-2334,1700-2200,1691525993,1691526032,,,
107,4,2d,range,2-0,0,0,1,3,B3,1150-1805,1200-1800,1691526034,1691526067,,,
107,5,2d,compare,0-0,0,1,0,training1,D3-D8-H7,D8,H7,1691526150,1691526178,,,
107,6,2d,compare,2-0,0,1,1,1,C5-B10-J5,J5,J5,1691526247,1691526267,,,One Finger
107,7,2d,compare,2-0,0,1,1,2,C1-A9-G4,G4,G4,1691526271,1691526285,,,One Finger
107,8,2d,compare,2-0,0,1,1,3,D5-D1-A10,D1,D1,1691526288,1691526305,,,One Finger
107,9,2d,advect,0-0,0,2,0,training1,D9,09:06,05:30,1691526557,1691526588,,,
107,10,2d,advect,2-0,0,2,1,1,E7,05:36,05:30,1691526720,1691526798,,,
107,11,2d,advect,2-0,0,2,1,2,H10,04:53,04:45,1691526808,1691526874,,,
107,12,2d,advect,2-0,0,2,1,3,B9,08:55,09:15,1691526880,1691526912,,,
107,13,physical,compare,0-0,1,1,0,training1,C2-C10-H3,H3,H3,1691527585,1691527606,,,
107,14,physical,compare,2-0,1,1,1,1,G2-G6-A1,G2,G2,1691527640,1691527684,,Pick Up,One Finger
107,15,physical,compare,2-0,1,1,1,2,D7-D3-I1,I1,I1,1691527691,1691527711,,Pick Up,One Finger
107,16,physical,compare,2-0,1,1,1,3,F3-B8-J1,J1,J1,1691527713,1691527736,,Pick Up,One Finger
107,17,physical,advect,0-0,1,2,0,training1,I7,08:57,06:30,1691527809,1691527831,,,
107,18,physical,advect,2-0,1,2,1,1,B3,07:34,07:30,1691527894,1691527942,,,Multiple Fingers
107,19,physical,advect,2-0,1,2,1,2,A7,08:20,10:30,1691527946,1691528008,,,Multiple Fingers
107,20,physical,advect,2-0,1,2,1,3,C7,07:23,07:45,1691528012,1691528075,,Pick Up,Multiple Fingers
107,21,physical,range,0-0,1,0,0,training1,B10,494-1312,500-1108,1691528148,1691528182,,,
107,22,physical,range,2-0,1,0,1,1,F10,1416-2154,600-1350,1691528214,1691528256,,,
107,23,physical,range,2-0,1,0,1,2,A7,1797-2345,1700-2200,1691528262,1691528304,,Pick Up,Multiple Fingers
107,24,physical,range,2-0,1,0,1,3,B9,2041-2598,1900-2500,1691528306,1691528368,,Rotate,Multiple Fingers
107,25,3d,advect,0-0,2,2,0,training1,C7,02:48,08:00,1691529117,1691529175,,,
107,26,3d,advect,2-0,2,2,1,1,F10,06:59,07:00,1691529256,1691529335,,,
107,27,3d,advect,2-0,2,2,1,2,D9,09:41,06:15,1691529347,1691529404,,,
107,28,3d,advect,2-0,2,2,1,3,G8,04:52,05:15,1691529409,1691529488,,,
107,29,3d,range,0-0,2,0,0,training1,D9,221-808,100-700,1691529560,1691529683,,,
107,30,3d,range,2-0,2,0,1,1,H10,1171-2040,1400-2400,1691529742,1691529813,,,
107,31,3d,range,2-0,2,0,1,2,C7,1415-2077,1400-1900,1691529817,1691529896,,,
107,32,3d,range,2-0,2,0,1,3,G8,1073-1809,1100-1700,1691529900,1691529953,,,
107,33,3d,compare,0-0,2,1,0,training1,B9-F3-J2,F3,F3,1691529999,1691530032,,,
107,34,3d,compare,2-0,2,1,1,1,J2-F5-A2,J2,J2,1691530046,1691530078,,,
107,35,3d,compare,2-0,2,1,1,2,I2-E6-A8,I2,E6,1691530082,1691530136,,,
107,36,3d,compare,2-0,2,1,1,3,A6-H5-G1,G1,H5,1691530140,1691530196,,,
108,1,physical,range,0-0,0,0,0,training1,D9,221-808,350-850,1691599202,1691599256,,,
108,2,physical,range,0-2,0,0,1,1,B4,658-1045,700-1150,1691599298,1691599346,,Pick Up,One Finger
108,3,physical,range,0-2,0,0,1,2,C8,630-1095,600-1100,1691599356,1691599409,,Pick Up,One Finger
108,4,physical,range,0-2,0,0,1,3,I2,495-990,400-1020,1691599412,1691599464,,Pick Up,One Finger
108,5,physical,compare,0-0,0,1,0,training1,C8-C4-J2,J2,J2,1691599546,1691599585,,,
108,6,physical,compare,0-2,0,1,1,1,G9-E2-I5,G9,G9,1691599608,1691599660,,Pick Up,Multiple Fingers
108,7,physical,compare,0-2,0,1,1,2,J3-E3-J8,J8,J8,1691599664,1691599686,,,One Finger
108,8,physical,compare,0-2,0,1,1,3,C4-I9-F7,I9,I9,1691599689,1691599710,,,One Finger
